#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
88,GalileoRU @UCpNzWUlO6PVb_v7chefBnig,2.2M,-,Germany,,651K,Trymacs,2330000,1336667163,3937
89,ToysMyToys @UCx5M8lD4NWfoDERFXy3MtyA,2.2M,-,Germany,,645K,Gewitter im Kopf - Leben mit Tourette,2040000,328484855,413
90,AviveHD @avivehd,2.1M,0.2%,Germany,,639K,Mois D. King,2110000,715550,14
91,GÜLSÜMÜN SARAYI TV @UCXL8AQAyGu-g2YSG7QzDBIg,2.1M,-,Germany,,639K,Little Baby Bum Deutsch,2070000,854850152,1266
92,Trymacs @UC6Gc4KQ1ueDnh8x7plaAD3w,2.1M,0.4%,Germany,,639K,CrispyRob,2030000,371148457,339
93,Gewitter im Kopf - Leben mit Tourette @UCh2Nc3OwjSwuXrUdFNXqFbQ,2.1M,0.2%,Germany,,639K,Aysha Siddika,2280000,417504742,742
94,Fritz Meinecke @fritzmeinecke,2.1M,1.7%,Germany,,636K,Joey's Jungle,2110000,924904835,489
95,Mois @UCqcWNPTUVATZt0Dlr2jV0Wg,2.1M,-,Germany,,636K,Sallys Welt,2110000,707550659,2003
96,Little Baby Bum Deutsch @UCHAQPpmpJqY50V046kQ63Mw,2.1M,-,Germany,,630K,,,,
97,CrispyRob @UCvGh4HT9ySBoURt0zSpC0Nw,2M,0.7%,Germany,,615K,,,,
98,Aysha Siddika @UC5xIZOXLw-dd617GoPPDgbw,2M,-,Germany,,609K,,,,
99,Joey's Jungle @UCGWSzxsb4UXsQf_FRQ7rR1g,2M,2.8%,Germany,,606K,,,,
100,Sallys Welt @UCPNqPbXJHMvrH3NwRKKR5IQ,2M,-,Germany,,606K,,,,
